x,y,yaw,gtx,gty,gtyaw,time1,time2,xmd,ymd,yawmd,xdopp,ydopp,yawdopp
1.97429,-0.0272741,-0.00628742,1.98098,-0.029351,-0.007146,1547131033098700,1547131033349094,1.90728,-0.0504929,-0.00705858,1.90276,-0.0389356,-0.00673215
1.96848,-0.0349878,-0.00961145,2.04076,-0.023188,-0.003213,1547131033349094,1547131033598768,1.97483,-0.0658775,-0.00873554,1.95502,-0.0461206,-0.00977712
2.02514,-0.0574347,-0.00652427,2.14114,-0.011261,-0.001054,1547131033598768,1547131033847699,2.06192,-0.0620673,-0.00622599,2.07277,-0.0507438,-0.00624899
2.08379,-0.0540627,-0.00267638,2.19882,-0.015923,-0.00256,1547131033847699,1547131034097104,2.08632,-0.0511042,-0.00226566,2.08533,-0.0336165,-0.00156556
2.1681,-0.0283022,-0.00602255,2.28715,-0.0241,-0.003115,1547131034097104,1547131034346280,2.13549,-0.033798,-0.00581969,2.11363,-0.0176995,-0.00595994
2.28628,-0.0155943,-0.00680238,2.3349,-0.022916,-0.004717,1547131034346280,1547131034597479,2.24011,-0.0114737,-0.00506427,2.2308,0.00552798,-0.00544247
2.33676,-0.0545065,-0.00466498,2.38527,-0.02205,-0.004867,1547131034597479,1547131034847100,2.30609,-0.0432605,-0.00637511,2.30533,-0.0640763,-0.00563188
2.39587,-0.0802383,-0.00871066,2.39129,-0.020493,-0.004574,1547131034847100,1547131035097290,2.39031,-0.0786837,-0.00862512,2.37796,-0.00991376,-0.00605119
2.34585,-0.0422669,-0.00515073,2.41966,-0.024595,-0.004565,1547131035097290,1547131035347272,2.35037,-0.0439593,-0.00478422,2.36408,-0.0193127,-0.00535826
2.4379,-0.00677678,-0.00527255,2.46416,-0.024715,-0.00361,1547131035347272,1547131035596966,2.40831,-0.0197186,-0.00476981,2.38813,-0.01848,-0.00465838
2.39408,-0.0281039,-0.00456997,2.52672,-0.024865,-0.001758,1547131035596966,1547131035846789,2.43742,-0.0631646,-0.00482959,2.41411,-0.067142,-0.00483117
2.42709,-0.0483592,-0.00246842,2.53406,-0.023784,-0.002294,1547131035846789,1547131036097138,2.47521,-0.0392802,-0.000156268,2.46237,-0.0659012,-0.00243878
2.46651,-0.0953299,-0.000406807,2.51176,-0.016297,-0.002147,1547131036097138,1547131036348905,2.52424,-0.0334314,-0.00411412,2.48366,-0.0978512,-0.00314116
2.4566,-0.00905634,-0.00477819,2.57763,-0.018076,-0.002214,1547131036348905,1547131036601714,2.4863,-0.0129884,-0.00466596,2.51623,-0.0690348,-0.00277761
2.58885,0.0367099,-0.00258353,2.40314,-0.017176,-0.003262,1547131036601714,1547131036853694,2.5886,-0.00930286,-0.00236343,2.57681,-0.00956048,-0.00252863
2.47954,-0.0308177,-0.00598088,2.39719,-0.030389,-0.001064,1547131036853694,1547131037105023,2.46553,-0.01622,-0.00451137,2.44601,-0.0156811,-0.00464513
2.47741,-0.0591241,-0.00289371,2.36508,-0.014629,-0.000969,1547131037105023,1547131037355832,2.4791,-0.0705414,-0.00220334,2.44081,-0.0566199,-0.00337282
2.35701,-0.0694615,-0.00125116,2.34252,-0.009963,1e-05,1547131037355832,1547131037604698,2.369,-0.0490103,-0.00139163,2.34706,-0.0734424,-0.000534367
2.426,-0.0256331,0.0032036,2.36756,-0.007651,-0.001141,1547131037604698,1547131037854351,2.33879,0.0020649,-0.00149283,2.3487,-0.0214605,0.00361989
2.40048,-0.0423304,-0.00309883,2.32062,-0.010713,-0.001314,1547131037854351,1547131038103185,2.42052,-0.0287752,-0.00240562,2.38181,0.0277557,-0.001519
2.41708,-0.00803789,0.00083125,2.33021,-0.006522,-0.001349,1547131038103185,1547131038351397,2.42271,-0.00892806,0.000983277,2.42189,0.00414338,0.000975991
2.36277,-0.0333737,-0.00369442,2.32555,-0.004342,-0.000542,1547131038351397,1547131038599860,2.37601,-0.0297646,-0.0036627,2.37841,-0.0353405,-0.00358696
